Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 13:10:43 AST
This table was created on Saturday, 7 February 2026 13:21:15 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
            168      18.591427    1.00001e-07    9.00009e-07    0.016739157    0.083259943              
            169      18.703827   1.200012e-07   8.800088e-07    0.016840688    0.083158432              
            170      18.816283    1.00001e-07    9.00009e-07    0.016941669    0.083057431              
            171      18.928814   1.200012e-07   8.800088e-07     0.01704389     0.08295523              
            172       19.04129    1.00001e-07    9.00009e-07    0.017144511    0.082854589              
            173      19.153709    8.00008e-08   9.200092e-07    0.017245392    0.082753688              
            174      19.266253   1.400014e-07   8.600086e-07    0.017346093    0.082653047              
            175      19.378973   1.200012e-07   8.800088e-07    0.017446124    0.082552996              
            176        19.4915   1.600016e-07   8.400084e-07    0.017547035    0.082452125              
            177      19.604019   1.200012e-07   8.800088e-07    0.017645826    0.082353294              
            178      19.716559   1.200012e-07   8.800088e-07    0.017745447    0.082253673              
            179      19.829075   1.400014e-07   8.600086e-07    0.017844178    0.082154962              
            180      19.941619   1.400014e-07   8.600086e-07    0.017945069    0.082054071              
            181      20.053908   1.600016e-07   8.400084e-07     0.01804336      0.0819558              
            182        20.1667    8.00008e-08   9.200092e-07    0.018144181    0.081854899              
            183      20.279288   1.200012e-07   8.800088e-07    0.018244532    0.081754588              
            184      20.392029   1.600016e-07   8.400084e-07    0.018344453    0.081654707              
            185      20.504651   1.200012e-07   8.800088e-07    0.018445434    0.081553686              
            186      20.617232    8.00008e-08   9.200092e-07    0.018545735    0.081453345              
            187      20.729996   1.200012e-07   8.800088e-07    0.018643466    0.081355654              
            188      20.842824   1.600016e-07   8.400084e-07    0.018744237    0.081254923              
            189      20.955417   1.200012e-07   8.800088e-07    0.018846348    0.081152772              
            190      21.068157    1.00001e-07    9.00009e-07    0.018945699    0.081053401              
            191      21.180782   1.200012e-07   8.800088e-07     0.01904646     0.08095266              
            192      21.293532    1.00001e-07    9.00009e-07    0.019146931    0.080852169              
            193      21.406306    8.00008e-08   9.200092e-07    0.019248592    0.080750487              
            194       21.51914    6.00006e-08   9.400094e-07    0.019348273    0.080650786              
            195      21.631893    1.00001e-07    9.00009e-07    0.019447224    0.080551876              
            196      21.744652    1.00001e-07    9.00009e-07    0.019547045    0.080452055              
            197      21.857675   1.200012e-07   8.800088e-07    0.019647216    0.080351904              
            198      21.970727    8.00008e-08   9.200092e-07    0.019747777    0.080251303              
            199      22.083748   1.200012e-07   8.800088e-07    0.019847258    0.080151862              
            200      22.196585   1.400014e-07   8.600086e-07    0.019947059    0.080052081              
            201      22.309492   2.200022e-07   7.800078e-07     0.02004696     0.07995226              
            202       22.42248    1.00001e-07    9.00009e-07    0.020147111    0.079851989              
            203      22.535456    1.00001e-07    9.00009e-07    0.020248872    0.079750227              
            204      22.648466   1.200012e-07   8.800088e-07    0.020350173    0.079648946              
            205      22.761426   1.200012e-07   8.800088e-07    0.020448664    0.079550455              
            206      22.874513   1.400014e-07   8.600086e-07    0.020550065    0.079449074              
            207      22.987521    1.00001e-07    9.00009e-07    0.020649656    0.079349443              
            208      23.100481    1.00001e-07    9.00009e-07    0.020750818    0.079248282              
            209      23.213369   1.200012e-07   8.800088e-07    0.020851859    0.079147261              
            210      23.326549   1.800018e-07   8.200082e-07     0.02095159     0.07904759              
            211      23.439611   1.400014e-07   8.600086e-07    0.021052191    0.078946949              
            212      23.552651   1.800018e-07   8.200082e-07    0.021149751    0.078849428              
            213      23.665758   1.600016e-07   8.400084e-07    0.021249662    0.078749497              
            214      23.778906    6.00006e-08   9.400094e-07    0.021349403    0.078649656              
            215      23.892033    1.00001e-07    9.00009e-07    0.021450575    0.078548525              
            216       24.00521   1.400014e-07   8.600086e-07    0.021549705    0.078449434              
            217      24.118468    8.00008e-08   9.200092e-07    0.021648816    0.078350263              
            218      24.231774   1.600016e-07   8.400084e-07    0.021748197    0.078250963              
            219      24.345058    8.00008e-08   9.200092e-07    0.021847408    0.078151672              
            220      24.458434    1.00001e-07    9.00009e-07    0.021947939    0.078051161              
            221      24.571644    1.00001e-07    9.00009e-07     0.02204955    0.077949549              
            222      24.684916    1.00001e-07    9.00009e-07    0.022150872    0.077848228              
            223      24.798265   1.200012e-07   8.800088e-07    0.022251153    0.077747967              
            224      24.911728   1.800018e-07   8.200082e-07    0.022350133    0.077649046              
            225      25.025083   1.400014e-07   8.600086e-07    0.022450515    0.077548625              
            226      25.138257   1.400014e-07   8.600086e-07    0.022550616    0.077448524              
            227      25.251518   1.400014e-07   8.600086e-07    0.022649176    0.077349963              
            228      25.364891   1.200012e-07   8.800088e-07    0.022748577    0.077250542              
            229      25.478254   1.200012e-07   8.800088e-07    0.022847878    0.077151242              
            230      25.591708   1.400014e-07   8.600086e-07    0.022947619    0.077051521              
            231      25.705247   1.200012e-07   8.800088e-07      0.0230482     0.07695092              
            232      25.818728    1.00001e-07    9.00009e-07    0.023148801    0.076850298              
            233       25.93216   1.600016e-07   8.400084e-07    0.023250473    0.076748687              
            234       26.04566   1.200012e-07   8.800088e-07    0.023351824    0.076647296              
            235      26.159172    1.00001e-07    9.00009e-07    0.023451625    0.076547475              
            236       26.27258   1.200012e-07   8.800088e-07    0.023550676    0.076448444              
            237      26.386089   1.200012e-07   8.800088e-07    0.023650257    0.076348863              
            238      26.499548   1.200012e-07   8.800088e-07    0.023749137    0.076249982              
            239      26.612878   1.200012e-07   8.800088e-07    0.023849738    0.076149381              
            240      26.726527   1.200012e-07   8.800088e-07    0.023946919    0.076052201              
            241      26.840149    6.00006e-08   9.400094e-07     0.02404875    0.075950309              
            242      26.953809    1.00001e-07    9.00009e-07    0.024149871    0.075849228              
            243      27.067434    2.00002e-07    8.00008e-07    0.024251293    0.075747907              
            244      27.181025   1.200012e-07   8.800088e-07    0.024352674    0.075646446              
            245       27.29471   1.400014e-07   8.600086e-07    0.024454325    0.075544815              
            246      27.408417    8.00008e-08   9.200092e-07    0.024554646    0.075444434              
            247      27.522012   1.400014e-07   8.600086e-07    0.024655097    0.075344043              
            248      27.635655    8.00008e-08   9.200092e-07    0.024754178    0.075244902              
            249      27.749327    1.00001e-07    9.00009e-07    0.024853099    0.075146001              
            250      27.863113   1.400014e-07   8.600086e-07     0.02495366     0.07504548              
            251       27.97669    8.00008e-08   9.200092e-07    0.025052641    0.074946439              
            252       28.09056   1.400014e-07   8.600086e-07    0.025151892    0.074847248              
            253      28.204341   1.200012e-07   8.800088e-07    0.025251933    0.074747187              
            254      28.318149   1.200012e-07   8.800088e-07    0.025351984    0.074647136              
            255      28.432163    8.00008e-08   9.200092e-07    0.025453465    0.074545615              
            256      28.545926    8.00008e-08   9.200092e-07    0.025554246    0.074444834              
            257      28.659781    6.00006e-08   9.400094e-07    0.025653827    0.074345233              
            258      28.773635   1.400014e-07   8.600086e-07    0.025753938    0.074245202              
            259      28.887486   1.200012e-07   8.800088e-07    0.025854509    0.074144611              
            260      29.001418   1.400014e-07   8.600086e-07     0.02595401     0.07404513              
