Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:16:09 AST
This table was created on Saturday, 7 February 2026 15:16:24 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
            243      30.137475    1.00001e-06              0    0.027166272    0.072833728              
            244      30.264342    1.00001e-06              0    0.027278273    0.072721727              
            245      30.391879    1.00001e-06              0    0.027384274    0.072615726              
            246      30.519216    1.00001e-06              0    0.027502275    0.072497725              
            247        30.6454    1.00001e-06              0    0.027622276    0.072377724              
            248      30.772957    1.00001e-06              0    0.027740277    0.072259723              
            249      30.900983    1.00001e-06              0    0.027869279    0.072130721              
            250      31.027537    1.00001e-06              0     0.02796228     0.07203772              
            251      31.154422    1.00001e-06              0    0.028067281    0.071932719              
            252       31.27992    1.00001e-06              0    0.028166282    0.071833718              
            253      31.406329    1.00001e-06              0    0.028281283    0.071718717              
            254      31.535356    1.00001e-06              0    0.028400284    0.071599716              
            255      31.663994    1.00001e-06              0    0.028516285    0.071483715              
            256      31.790429    1.00001e-06              0    0.028623286    0.071376714              
            257      31.919141    1.00001e-06              0    0.028750287    0.071249712              
            258      32.046297    1.00001e-06              0    0.028846288    0.071153712              
            259      32.174929    1.00001e-06              0     0.02897329     0.07102671              
            260      32.302466    1.00001e-06              0    0.029068291    0.070931709              
            261      32.430499    1.00001e-06              0    0.029175292    0.070824708              
            262      32.557924    1.00001e-06              0    0.029287293    0.070712707              
            263      32.686196    1.00001e-06              0    0.029400294    0.070599706              
            264      32.814522    1.00001e-06              0    0.029519295    0.070480705              
            265      32.943538    1.00001e-06              0    0.029636296    0.070363704              
            266       33.07138    1.00001e-06              0    0.029760298    0.070239702              
            267      33.197534    1.00001e-06              0    0.029868299    0.070131701              
            268      33.323636    1.00001e-06              0      0.0299823      0.0700177              
            269      33.451076    1.00001e-06              0    0.030088301    0.069911699              
            270      33.578045    1.00001e-06              0    0.030200302    0.069799698              
            271      33.705672    1.00001e-06              0    0.030312303    0.069687697              
            272      33.833116    1.00001e-06              0    0.030424304    0.069575696              
            273      33.960985    1.00001e-06              0    0.030525305    0.069474695              
            274      34.089141    1.00001e-06              0    0.030638306    0.069361694              
            275      34.219216    1.00001e-06              0    0.030763308    0.069236692              
            276      34.346776    1.00001e-06              0    0.030870309    0.069129691              
            277       34.47555    1.00001e-06              0     0.03098131     0.06901869              
            278       34.60328    1.00001e-06              0    0.031112311    0.068887689              
            279      34.730703    1.00001e-06              0    0.031227312    0.068772688              
            280      34.858494    1.00001e-06              0    0.031340313    0.068659687              
            281      34.984993    1.00001e-06              0    0.031465315    0.068534685              
            282      35.114342    1.00001e-06              0    0.031586316    0.068413684              
            283      35.243409    1.00001e-06              0    0.031693317    0.068306683              
            284      35.370445    1.00001e-06              0    0.031801318    0.068198682              
            285      35.498368    1.00001e-06              0    0.031914319    0.068085681              
            286      35.625689    1.00001e-06              0     0.03199832     0.06800168              
            287      35.754002    1.00001e-06              0    0.032130321    0.067869679              
            288      35.882696    1.00001e-06              0    0.032259323    0.067740677              
            289      36.011698    1.00001e-06              0    0.032370324    0.067629676              
            290      36.139139    1.00001e-06              0    0.032490325    0.067509675              
            291      36.267729    1.00001e-06              0    0.032607326    0.067392674              
            292      36.395836    1.00001e-06              0    0.032714327    0.067285673              
            293      36.522718    1.00001e-06              0    0.032828328    0.067171672              
            294      36.650004    1.00001e-06              0    0.032935329    0.067064671              
            295      36.780095    1.00001e-06              0     0.03303433     0.06696567              
            296      36.907744    1.00001e-06              0    0.033153332    0.066846668              
            297      37.036221    1.00001e-06              0    0.033263333    0.066736667              
            298      37.164959    1.00001e-06              0    0.033366334    0.066633666              
            299      37.293399    1.00001e-06              0    0.033485335    0.066514665              
            300      37.421912    1.00001e-06              0    0.033593336    0.066406664              
            301      37.550936    1.00001e-06              0    0.033705337    0.066294663              
            302      37.680577    1.00001e-06              0    0.033812338    0.066187662              
            303      37.808646    1.00001e-06              0    0.033932339    0.066067661              
            304      37.935849    1.00001e-06              0    0.034052341    0.065947659              
            305      38.063757    1.00001e-06              0    0.034144341    0.065855659              
            306      38.191024    1.00001e-06              0    0.034260343    0.065739657              
            307      38.320204    1.00001e-06              0    0.034375344    0.065624656              
            308      38.447127    1.00001e-06              0    0.034487345    0.065512655              
            309      38.574717    1.00001e-06              0    0.034589346    0.065410654              
            310      38.702209    1.00001e-06              0    0.034693347    0.065306653              
            311      38.830038    1.00001e-06              0    0.034793348    0.065206652              
            312      38.957829    1.00001e-06              0    0.034900349    0.065099651              
            313      39.086096    1.00001e-06              0     0.03499535     0.06500465              
            314      39.213112    1.00001e-06              0    0.035118351    0.064881649              
            315      39.341281    1.00001e-06              0    0.035243352    0.064756648              
            316      39.470174    1.00001e-06              0    0.035342353    0.064657647              
            317      39.599216    1.00001e-06              0    0.035451355    0.064548645              
            318      39.728799    1.00001e-06              0    0.035561356    0.064438644              
            319      39.856601    1.00001e-06              0    0.035675357    0.064324643              
            320      39.984429    1.00001e-06              0    0.035788358    0.064211642              
            321      40.113311    1.00001e-06              0    0.035908359    0.064091641              
            322      40.241979    1.00001e-06              0     0.03602336     0.06397664              
            323      40.370184    1.00001e-06              0    0.036135361    0.063864639              
            324      40.498681    1.00001e-06              0    0.036238362    0.063761638              
            325      40.627506    1.00001e-06              0    0.036346363    0.063653637              
            326      40.756245    1.00001e-06              0    0.036462365    0.063537635              
            327      40.885675    1.00001e-06              0    0.036555366    0.063444634              
            328       41.01499    1.00001e-06              0    0.036676367    0.063323633              
            329      41.145297    1.00001e-06              0    0.036788368    0.063211632              
            330      41.273286    1.00001e-06              0    0.036885369    0.063114631              
            331      41.402616    1.00001e-06              0     0.03699737     0.06300263              
            332      41.530859    1.00001e-06              0    0.037102371    0.062897629              
            333      41.660507    1.00001e-06              0    0.037223372    0.062776628              
            334       41.78876    1.00001e-06              0    0.037341373    0.062658627              
